trial_id,crowd_density_humans,fixed_fleet_size,success_rate_pct,makespan_s,mean_replan_latency_ms,discomfort_integral,v2v_mesh_packets
47,24,4,0.0,65.05,0.221,30.9,22
47,30,4,100.0,35.3,0.332,4.29,8
48,2,4,100.0,21.35,0.031,0.0,26
48,6,4,100.0,46.9,0.047,16.85,20
48,12,4,100.0,46.9,0.15,10.53,11
48,18,4,100.0,35.15,0.113,25.67,14
48,24,4,100.0,58.35,0.31,5.28,11
48,30,4,100.0,41.45,0.325,1.85,10
49,2,4,100.0,41.9,0.03,10.01,28
49,6,4,0.0,65.05,0.048,1.3,13
49,12,4,100.0,45.8,0.143,3.46,19
49,18,4,100.0,59.05,0.176,17.51,17
49,24,4,100.0,54.0,0.251,53.8,24
49,30,4,0.0,65.05,0.403,55.3,25
50,2,4,100.0,56.2,0.024,2.76,11
50,6,4,100.0,50.95,0.091,10.36,34
50,12,4,100.0,39.8,0.133,5.77,20
50,18,4,100.0,61.75,0.128,116.99,18
50,24,4,100.0,42.8,0.212,104.99,44
50,30,4,100.0,41.4,0.152,36.89,19
51,2,4,100.0,41.05,0.029,0.0,13
51,6,4,100.0,44.0,0.069,0.77,20
51,12,4,100.0,47.45,0.123,1.11,9
51,18,4,100.0,57.3,0.109,15.65,16
51,24,4,100.0,59.15,0.129,10.18,12
51,30,4,100.0,43.9,0.268,38.41,29
52,2,4,100.0,53.65,0.039,0.07,20
52,6,4,0.0,65.05,0.055,256.62,12
52,12,4,100.0,53.25,0.129,1.35,13
52,18,4,0.0,65.05,0.147,318.28,13
52,24,4,100.0,34.7,0.144,56.68,21
52,30,4,0.0,65.05,0.252,85.21,40
53,2,4,100.0,28.75,0.021,0.5,23
53,6,4,0.0,65.05,0.056,1.89,11
53,12,4,100.0,56.6,0.116,6.78,17
53,18,4,0.0,65.05,0.134,191.1,18
53,24,4,100.0,60.75,0.23,31.02,14
53,30,4,0.0,65.05,0.285,362.02,26
54,2,4,100.0,39.85,0.061,0.04,19
54,6,4,100.0,35.15,0.067,5.18,10
54,12,4,0.0,65.05,0.174,1.81,9
54,18,4,100.0,55.2,0.226,68.24,39
54,24,4,100.0,54.45,0.228,81.48,41
54,30,4,100.0,58.35,0.266,56.82,42
55,2,4,100.0,33.2,0.035,0.97,12
55,6,4,100.0,59.45,0.048,0.5,14
55,12,4,100.0,52.3,0.156,42.36,28
55,18,4,0.0,65.05,0.298,169.11,33
55,24,4,0.0,65.05,0.209,44.61,24
55,30,4,0.0,65.05,0.307,272.58,20
56,2,4,100.0,54.3,0.019,0.03,20
56,6,4,100.0,26.7,0.066,3.17,16
56,12,4,100.0,44.5,0.12,2.06,13
56,18,4,100.0,60.15,0.083,40.64,20
56,24,4,100.0,47.5,0.176,31.81,19
56,30,4,0.0,65.05,0.281,37.96,16
57,2,4,100.0,44.75,0.017,10.4,25
57,6,4,100.0,58.55,0.047,26.73,18
57,12,4,0.0,65.05,0.187,0.5,17
57,18,4,0.0,65.05,0.245,88.63,33
57,24,4,100.0,41.95,0.261,16.19,18
57,30,4,0.0,65.05,0.146,41.53,28
58,2,4,100.0,50.65,0.018,0.01,23
58,6,4,100.0,31.35,0.059,9.65,9
59,2,4,100.0,50.35,0.02,0.0,16
59,6,4,0.0,65.05,0.143,78.22,20
60,2,4,100.0,28.75,0.028,0.78,16
61,2,4,0.0,65.05,0.037,27.06,19
61,6,4,100.0,47.85,0.054,35.78,25
61,12,4,100.0,44.8,0.143,12.83,15
62,2,4,100.0,29.1,0.04,0.0,23
62,6,4,100.0,45.0,0.073,1.43,10
63,2,4,0.0,65.05,0.022,18.62,15
63,6,4,100.0,41.45,0.068,0.38,10
64,2,4,0.0,65.05,0.049,3.46,15
65,2,4,100.0,30.45,0.024,0.22,32
66,2,4,100.0,21.45,0.025,0.28,18
66,6,4,100.0,51.15,0.035,0.18,12
66,12,4,0.0,65.05,0.097,47.41,25
66,18,4,0.0,65.05,0.203,40.41,32
