trial_id,configuration,omitted_component,success,travel_time_s,deadlocks,discomfort_integral,shelf_contact_ticks,shelf_contact_events,min_shelf_clearance_m,inter_cart_crowding
23,Full D2RO Framework,None (Complete Equation),1,42.2,0,0.01,114,1,0.511,0
23,w/o V2V Mesh Telemetry,W_mesh = 0,1,26.8,0,0.01,52,2,0.517,0
23,w/o Corridor Mutex Lock,R_lock = 0,1,26.8,0,0.01,52,2,0.517,0
23,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,16.72,170,56,0.505,0
23,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,39.05,0,0.01,216,74,0.0,0
24,Full D2RO Framework,None (Complete Equation),1,44.35,0,0.01,170,4,0.511,0
24,w/o V2V Mesh Telemetry,W_mesh = 0,1,29.35,0,0.01,93,4,0.517,0
24,w/o Corridor Mutex Lock,R_lock = 0,1,29.35,0,0.01,93,4,0.517,0
24,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,11.22,184,57,0.513,0
24,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,40.5,0,0.01,224,82,0.0,0
25,Full D2RO Framework,None (Complete Equation),1,47.5,0,0.02,84,6,0.509,0
25,w/o V2V Mesh Telemetry,W_mesh = 0,1,34.7,0,0.01,136,3,0.515,0
25,w/o Corridor Mutex Lock,R_lock = 0,1,34.7,0,0.01,136,3,0.515,0
25,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,20.29,274,90,0.31,0
25,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,44.95,0,0.01,326,96,0.0,0
26,Full D2RO Framework,None (Complete Equation),1,44.6,0,0.03,187,7,0.51,0
26,w/o V2V Mesh Telemetry,W_mesh = 0,1,39.3,0,0.01,425,6,0.496,0
26,w/o Corridor Mutex Lock,R_lock = 0,1,39.3,0,0.01,425,6,0.496,0
26,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,10.98,292,23,0.511,0
26,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,42.8,0,0.02,279,95,0.0,0
27,Full D2RO Framework,None (Complete Equation),1,36.75,0,0.04,128,4,0.516,0
27,w/o V2V Mesh Telemetry,W_mesh = 0,1,33.6,0,0.04,123,3,0.515,0
27,w/o Corridor Mutex Lock,R_lock = 0,1,33.6,0,0.04,123,3,0.515,0
27,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,14.59,285,38,0.492,0
27,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,43.9,0,0.08,303,95,0.0,0
28,Full D2RO Framework,None (Complete Equation),1,46.3,0,0.04,51,2,0.519,0
28,w/o V2V Mesh Telemetry,W_mesh = 0,1,27.75,0,0.01,52,2,0.517,0
28,w/o Corridor Mutex Lock,R_lock = 0,1,27.75,0,0.01,52,2,0.517,0
28,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,11.06,70,60,0.507,0
28,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,45.0,0,0.02,130,86,0.0,0
29,Full D2RO Framework,None (Complete Equation),1,42.2,0,0.0,153,3,0.511,0
29,w/o V2V Mesh Telemetry,W_mesh = 0,1,31.75,0,0.0,91,5,0.511,0
29,w/o Corridor Mutex Lock,R_lock = 0,1,31.75,0,0.0,91,5,0.511,0
29,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,16.59,379,54,0.511,0
29,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,39.05,0,0.0,216,74,0.0,0
30,Full D2RO Framework,None (Complete Equation),1,47.6,0,0.04,139,5,0.496,0
30,w/o V2V Mesh Telemetry,W_mesh = 0,1,55.8,0,0.13,249,10,0.496,0
30,w/o Corridor Mutex Lock,R_lock = 0,1,55.8,0,0.13,249,10,0.496,0
30,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,13.16,172,55,0.5,0
30,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,45.3,0,0.02,181,99,0.0,0
31,Full D2RO Framework,None (Complete Equation),1,42.2,0,0.0,160,2,0.511,0
31,w/o V2V Mesh Telemetry,W_mesh = 0,1,28.05,0,0.0,46,1,0.517,0
31,w/o Corridor Mutex Lock,R_lock = 0,1,28.05,0,0.0,46,1,0.517,0
31,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,18.43,151,65,0.512,0
31,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,39.05,0,0.0,216,74,0.0,0
32,Full D2RO Framework,None (Complete Equation),1,47.6,0,0.14,100,7,0.495,0
32,w/o V2V Mesh Telemetry,W_mesh = 0,1,27.15,0,0.01,80,4,0.505,0
32,w/o Corridor Mutex Lock,R_lock = 0,1,27.15,0,0.01,80,4,0.505,0
32,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,15.09,126,67,0.498,0
32,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,99.4,0,0.71,414,178,0.0,0
33,Full D2RO Framework,None (Complete Equation),1,43.1,0,0.1,412,5,0.511,0
33,w/o V2V Mesh Telemetry,W_mesh = 0,1,38.65,0,0.02,162,5,0.511,0
33,w/o Corridor Mutex Lock,R_lock = 0,1,38.65,0,0.02,162,5,0.511,0
33,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,10.48,182,42,0.397,0
33,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,44.95,0,0.03,326,96,0.0,0
34,Full D2RO Framework,None (Complete Equation),1,45.3,0,0.01,144,2,0.511,0
34,w/o V2V Mesh Telemetry,W_mesh = 0,1,27.95,0,0.01,51,2,0.512,0
34,w/o Corridor Mutex Lock,R_lock = 0,1,27.95,0,0.01,51,2,0.512,0
34,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,15.85,742,81,0.356,0
34,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,40.95,0,0.0,235,93,0.0,0
35,Full D2RO Framework,None (Complete Equation),1,33.2,0,0.09,32,12,0.498,0
35,w/o V2V Mesh Telemetry,W_mesh = 0,1,61.15,0,0.09,644,25,0.507,0
35,w/o Corridor Mutex Lock,R_lock = 0,1,61.15,0,0.09,644,25,0.507,0
35,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,12.4,107,46,0.508,0
35,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,53.4,0,0.18,513,172,0.0,0
36,Full D2RO Framework,None (Complete Equation),1,44.35,0,0.03,131,2,0.511,0
36,w/o V2V Mesh Telemetry,W_mesh = 0,1,29.2,0,0.03,63,1,0.517,0
