trial_id,fleet_size_carts,fixed_crowd_humans,success_rate_pct,makespan_s,mean_replan_latency_ms,corridor_mutex_wait_s,v2v_mesh_packets
28,6,10,100.0,30.0,0.493,0.0,52
28,8,10,100.0,27.65,0.624,0.0,70
28,10,10,100.0,39.9,0.804,0.0,72
28,12,10,100.0,21.65,0.583,0.0,74
29,2,10,100.0,14.65,0.575,0.0,6
29,4,10,100.0,24.9,0.698,0.0,35
29,6,10,0.0,65.05,0.613,0.0,17
29,8,10,100.0,24.85,0.505,0.0,39
29,10,10,100.0,23.85,0.598,0.0,117
29,12,10,100.0,21.25,0.74,0.0,111
30,2,10,100.0,25.8,0.49,0.0,7
30,4,10,100.0,42.35,0.595,0.0,51
30,6,10,100.0,25.65,0.625,0.0,52
30,8,10,0.0,65.05,0.626,0.0,16
30,10,10,100.0,21.3,0.488,0.0,24
30,12,10,100.0,17.0,0.669,0.0,88
31,2,10,100.0,16.45,0.64,0.0,2
31,4,10,100.0,38.65,0.782,0.0,25
31,6,10,100.0,17.3,0.595,0.0,35
31,8,10,100.0,21.3,0.472,0.0,42
31,10,10,100.0,48.35,0.69,0.0,51
31,12,10,100.0,38.95,0.585,0.0,59
32,2,10,100.0,54.85,0.712,0.0,1
32,4,10,100.0,22.3,0.699,0.0,8
32,6,10,0.0,65.05,0.563,0.0,24
32,8,10,100.0,34.2,0.736,0.0,92
32,10,10,100.0,27.25,0.679,0.0,44
32,12,10,100.0,30.3,0.8,0.0,105
33,2,10,100.0,15.75,0.702,0.0,1
33,4,10,100.0,27.65,0.628,0.0,26
33,6,10,100.0,27.95,0.617,0.0,35
33,8,10,0.0,65.05,0.662,0.0,33
33,10,10,0.0,65.05,0.432,0.0,27
33,12,10,100.0,40.55,0.707,0.0,86
34,2,10,100.0,26.65,0.734,0.0,6
34,4,10,100.0,22.7,0.69,0.0,34
34,6,10,100.0,38.25,0.735,0.0,16
34,8,10,100.0,49.05,0.614,0.0,33
34,10,10,100.0,24.85,0.578,0.0,55
34,12,10,100.0,25.0,0.605,0.0,32
35,2,10,100.0,13.1,0.442,0.0,6
35,4,10,100.0,24.8,0.505,0.0,17
35,6,10,100.0,24.85,0.535,0.0,28
35,8,10,100.0,47.3,0.711,0.0,110
35,10,10,0.0,65.05,0.471,0.0,69
35,12,10,100.0,40.45,0.538,0.0,130
36,2,10,100.0,41.6,0.769,0.0,4
36,4,10,100.0,20.9,0.557,0.0,13
36,6,10,100.0,21.0,0.674,0.0,25
36,8,10,0.0,65.05,0.515,0.0,36
36,10,10,100.0,29.25,0.729,0.0,28
36,12,10,100.0,35.0,0.661,0.0,66
37,2,10,100.0,22.0,0.545,0.0,7
37,4,10,100.0,30.65,0.601,0.0,32
37,6,10,100.0,25.15,0.579,0.0,70
37,8,10,100.0,25.05,0.52,0.0,30
37,10,10,100.0,25.15,0.684,0.0,83
37,12,10,100.0,23.45,0.663,0.0,75
38,2,10,100.0,29.25,0.603,0.0,8
