trial_id,cell,social_routing,yielding,success,timeout,makespan_s,intimate_exposure_person_ticks,intimate_exposure_person_s,intimate_encounters,replans
6,D_social_yield,1,1,1,0,71.85,0,0.0,0,568
7,D_social_yield,1,1,1,0,27.95,0,0.0,0,396
8,D_social_yield,1,1,1,0,68.55,0,0.0,0,658
9,D_social_yield,1,1,1,0,53.8,0,0.0,0,618
10,D_social_yield,1,1,1,0,42.6,0,0.0,0,397
11,D_social_yield,1,1,1,0,44.5,0,0.0,0,484
12,D_social_yield,1,1,1,0,43.0,0,0.0,0,312
13,D_social_yield,1,1,1,0,57.75,0,0.0,0,627
14,D_social_yield,1,1,1,0,43.0,0,0.0,0,413
15,D_social_yield,1,1,1,0,57.35,126,6.3,1,649
16,D_social_yield,1,1,1,0,43.6,0,0.0,0,519
17,D_social_yield,1,1,1,0,24.35,0,0.0,0,345
18,D_social_yield,1,1,1,0,117.9,493,24.65,2,1086
19,D_social_yield,1,1,1,0,65.8,0,0.0,0,585
20,D_social_yield,1,1,1,0,42.2,0,0.0,0,432
21,D_social_yield,1,1,1,0,33.85,0,0.0,0,427
22,D_social_yield,1,1,1,0,42.2,0,0.0,0,377
23,D_social_yield,1,1,1,0,48.45,0,0.0,0,452
24,D_social_yield,1,1,1,0,42.2,0,0.0,0,379
25,D_social_yield,1,1,1,0,41.9,0,0.0,0,444
26,D_social_yield,1,1,1,0,65.5,0,0.0,0,480
27,D_social_yield,1,1,1,0,70.5,0,0.0,0,628
28,D_social_yield,1,1,1,0,36.7,0,0.0,0,412
29,D_social_yield,1,1,1,0,54.6,0,0.0,0,572
30,D_social_yield,1,1,1,0,43.35,0,0.0,0,391
31,D_social_yield,1,1,1,0,43.25,0,0.0,0,384
32,D_social_yield,1,1,1,0,64.05,0,0.0,0,766
33,D_social_yield,1,1,1,0,42.2,0,0.0,0,368
34,D_social_yield,1,1,1,0,51.8,0,0.0,0,579
35,D_social_yield,1,1,1,0,37.3,0,0.0,0,400
36,D_social_yield,1,1,1,0,43.25,0,0.0,0,374
37,D_social_yield,1,1,1,0,42.2,0,0.0,0,331
38,D_social_yield,1,1,1,0,42.2,0,0.0,0,351
39,D_social_yield,1,1,1,0,50.8,0,0.0,0,367
40,D_social_yield,1,1,1,0,45.9,0,0.0,0,535
41,D_social_yield,1,1,1,0,89.55,0,0.0,0,638
42,D_social_yield,1,1,1,0,42.8,0,0.0,0,498
43,D_social_yield,1,1,1,0,42.8,0,0.0,0,401
44,D_social_yield,1,1,1,0,37.8,0,0.0,0,466
45,D_social_yield,1,1,1,0,52.25,0,0.0,0,473
46,D_social_yield,1,1,1,0,42.5,0,0.0,0,455
47,D_social_yield,1,1,1,0,42.2,0,0.0,0,444
48,D_social_yield,1,1,1,0,46.05,0,0.0,0,595
49,D_social_yield,1,1,1,0,39.1,0,0.0,0,515
50,D_social_yield,1,1,1,0,40.0,0,0.0,0,487
